#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
 189000      3.99e-01    4.39e-01      3.10e-03    1.69e-03      3.25e-02    3.58e-02    1.5e-04
 190000      3.91e-01    4.00e-01      6.34e-03    1.29e-02      3.27e-02    3.32e-02    1.4e-04
 191000      4.01e-01    3.94e-01      2.00e-03    2.30e-03      3.35e-02    3.30e-02    1.4e-04
 192000      3.00e-01    3.38e-01      1.47e-03    1.84e-03      2.51e-02    2.82e-02    1.4e-04
 193000      3.78e-01    4.11e-01      7.49e-04    6.79e-03      3.16e-02    3.43e-02    1.4e-04
 194000      2.49e-01    3.28e-01      2.74e-03    1.85e-03      2.08e-02    2.74e-02    1.4e-04
 195000      3.96e-01    3.16e-01      7.17e-03    7.38e-03      3.39e-02    2.70e-02    1.4e-04
 196000      4.95e-01    3.01e-01      1.59e-03    1.75e-03      4.25e-02    2.58e-02    1.4e-04
 197000      3.25e-01    3.59e-01      3.92e-03    6.12e-03      2.78e-02    3.08e-02    1.4e-04
 198000      3.61e-01    3.75e-01      5.60e-03    7.34e-03      3.09e-02    3.21e-02    1.4e-04
 199000      3.15e-01    2.77e-01      4.62e-03    9.31e-04      2.69e-02    2.37e-02    1.4e-04
 200000      3.88e-01    3.09e-01      2.01e-03    1.77e-03      3.41e-02    2.72e-02    1.3e-04
 201000      3.79e-01    3.81e-01      5.41e-03    1.04e-02      3.33e-02    3.34e-02    1.3e-04
 202000      3.80e-01    3.68e-01      8.50e-03    2.44e-03      3.33e-02    3.24e-02    1.3e-04
 203000      2.85e-01    3.46e-01      1.30e-03    8.75e-03      2.51e-02    3.03e-02    1.3e-04
 204000      5.71e-01    3.87e-01      1.54e-03    1.30e-03      5.02e-02    3.40e-02    1.3e-04
 205000      3.05e-01    3.29e-01      1.99e-03    8.14e-03      2.75e-02    2.96e-02    1.2e-04
 206000      2.68e-01    3.37e-01      6.14e-03    6.61e-03      2.41e-02    3.04e-02    1.2e-04
 207000      2.75e-01    2.99e-01      7.82e-03    1.35e-03      2.47e-02    2.69e-02    1.2e-04
 208000      5.48e-01    2.79e-01      5.03e-03    2.42e-03      4.93e-02    2.51e-02    1.2e-04
 209000      3.13e-01    2.92e-01      4.15e-04    5.66e-04      2.82e-02    2.64e-02    1.2e-04
 210000      3.03e-01    2.99e-01      6.06e-03    6.48e-03      2.80e-02    2.76e-02    1.2e-04
